,x,y,,x,y,,x,y
run1,0.052199513540554,1.05618050750485,run3,0.0347076739073335,0.821460950033455,run5,0.069898357193102,0.938648225419698
,1.79700189178673,1.98413352525928,,1.69142984192943,1.6325716991005,,2.07928637281041,1.63004164997538
,3.34911802870839,0.799840530236963,,3.80645890874381,2.55810966996273,,2.73131453302385,2.09545568676459
,4.86487045956809,1.4944540173155,,5.16326675342946,3.72342729654667,,3.94756664858576,2.43977237224691
,6.23930814656651,2.65965664166644,,6.0793975416356,4.7742026991024,,5.19928545279254,2.43160721370674
,7.56106331064595,3.47295243315973,,6.78397022208848,5.82635812845366,,7.10254940783434,3.71077705092107
,8.58311115540827,4.28820326261335,,7.04793484740162,6.64655405392455,,8.01895620139958,4.29188333406808
,11.9645218111318,10.2544041063464,,7.29385562236334,8.17136866074149,,8.58228313933095,5.69721062083956
,13.3546573029293,14.7071755643255,,7.48736987976517,8.87460731529204,,8.88150744926964,6.51717654184451
,13.6867262506014,19.636516275691,,7.62785660754913,9.81302553624582,,9.05711585899959,7.69019931803676
,13.6484305070257,24.803106593653,,7.83893170592395,10.6335664684156,,9.16220489947846,8.86368210316084
,13.2047863929358,29.7375074032688,,8.04993780295901,11.5715246804375,,9.21440441301902,10.0375098949838
,13.5717700185345,35.2537045094292,,8.20777836769664,12.9794970185671,,9.30193261252489,11.0936904024886
,14.1506567585854,40.1814351895333,,7.76758432059556,12.0430338355736,,9.3539941233859,12.502352754016
,14.5710129205009,44.8753663300296,,7.81861081135992,15.2129553848837,,9.38870179729323,13.4414609883675
,14.2508467039402,49.6915448441624,,7.90399996933274,19.9090715678063,,9.44110831485311,14.2630369406339
,14.3889873861718,54.6221505800904,,8.14819571080005,24.3693181709278,,9.4227194578028,15.5547420212409
,14.5271280684033,59.5527563160185,,8.23323986207399,29.6525207531113,,9.49103078418106,19.311634967579
,14.8943186980214,64.7167015826224,,8.30065417103515,34.9358383375277,,9.64659430470608,24.5943775408306
,15.050020221226,69.7646095961697,,8.70344949197763,39.5124672004048,,9.90793687910774,29.8764301006844
,14.7827435316036,74.5804431036036,,8.77093280227858,44.6783675049691,,9.97576519610756,34.4552440059878
,13.9510358826134,79.869625801901,,8.89137464085761,49.7265055229822,,10.0785771923738,39.5034970262339
,13.3487231877086,84.8050616316133,,9.06463700503518,54.8917158141487,,10.1636903449875,44.6692823285652
,11.4418021616586,89.7490076265648,,9.07950679375691,59.5882920060031,,10.1077647590991,49.8359876487602
,9.71111055739666,94.8092208790387,,9.23520831696149,64.6362000195504,,10.2283446003577,54.649291107069
,9.28502728427977,99.8609239662737,,9.54950941964123,69.8004902928532,,10.4724023391454,59.3443722698949
,9.15899633717888,104.323585616287,,9.63489857761405,74.4966064757757,,10.5399546507861,64.392855294607
,8.82099327428607,109.49213097221,,9.75520241351353,79.7795790534933,,10.6780953330177,69.323461030535
,8.71397219629348,111.606332022947,,9.77014120357504,84.3587379654955,,10.7101809560136,74.7244258992695
,,,,9.73184545999935,89.5253282834575,,10.7426805870481,79.420887088891
,,,,9.58783966388681,94.5751913349651,,10.8983131089129,84.5862123822904
,,,,9.63796913723408,99.2715375223536,,10.913044894955,89.5176231338492
,,,,,,,10.7865999398155,94.684788462976
,,,,,,,10.6778538283285,99.7344215100177
,,,,,,,10.6587059565407,102.317716668999
